latitude,longitude,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3
67.9521,79.8047,3,257.96,0.01,12.46,40.03,2.91,14.6,7.39,0.16
45.1678,64.6047,2,159.9,0.1,9.98,10.1,2.9,14.6,26.91,0.07
-38.198,-82.2806,5,351.61,0.02,6.7,20.93,3.0,9.23,15.58,0.02
-45.6563,-147.8758,1,283.73,0.05,5.88,45.94,1.26,5.21,20.32,0.08
-29.2198,-154.8663,2,238.15,0.06,3.93,19.44,2.9,19.23,28.68,0.14
-40.8196,81.1201,1,298.31,0.07,13.34,26.02,1.58,20.29,10.33,0.02
-67.3079,-170.6491,3,286.35,0.03,8.57,35.57,0.87,22.14,11.89,0.04
-50.9206,-79.7879,2,353.54,0.01,5.96,10.56,2.37,12.68,23.06,0.1
-7.6428,150.0804,3,188.98,0.01,18.49,47.17,0.72,21.6,17.09,0.04
24.7283,-3.7814,2,250.34,0.09,3.99,49.59,0.35,12.18,15.11,0.2
-76.1176,23.7292,3,327.36,0.06,16.63,21.52,1.17,24.07,16.24,0.17
-53.3269,117.1574,5,182.82,0.04,10.65,39.39,1.95,23.58,22.03,0.08
-76.3752,-16.6445,5,130.31,0.03,2.65,41.29,2.23,22.99,17.61,0.09
24.1631,-95.6525,1,152.76,0.09,2.04,18.96,0.43,12.1,20.63,0.04
-44.1675,85.9235,5,152.54,0.08,8.54,22.04,0.41,20.33,11.36,0.14
21.8105,61.432,4,304.34,0.05,5.02,28.77,1.72,22.72,10.83,0.11
22.8278,-37.884,5,172.59,0.04,1.74,29.56,2.83,10.11,25.73,0.03
-86.8295,-167.359,3,261.84,0.02,7.3,13.05,1.9,18.25,28.98,0.12
-82.5212,134.5826,1,110.42,0.01,19.48,41.11,0.87,12.22,21.56,0.14
5.6463,146.8967,2,184.61,0.06,9.14,53.69,1.47,18.76,15.38,0.1
-21.9213,12.7699,2,256.0,0.07,13.45,49.51,2.91,14.73,12.84,0.14
-88.6731,-154.717,1,341.59,0.05,18.89,32.18,2.32,11.48,15.38,0.05
89.6687,-131.5316,5,141.85,0.06,11.43,31.52,1.49,18.75,26.26,0.16
67.3045,73.9384,1,305.02,0.1,9.74,33.79,1.78,10.88,24.57,0.03
-5.321,115.7371,1,186.6,0.07,17.66,38.61,1.18,18.45,26.0,0.12
